PACKING LIST - EUROPACK LOGISTICS SRL
Delivery Note: DL-7741
Date: 09/03/2026

Order Ref,Item Code,Description,Boxes,Qty per Box,Total Qty,Weight Kg
ORD-W11-01,ALP-843,Armadio 2 ante scorrevoli,2,3,6,180.5
,,Sub-item: maniglie,2,3,6,2.1
,,Sub-item: ripiani,2,6,12,15.0
ORD-W11-01,ALP-574,Comò 4 cassetti,7,2,14,420.0
ORD-W11-02,ALP-114,Comodino,3,2,6,90.0

Delivery Note: DL-4469
Date: 10/03/2026

Order Ref,Item Code,Description,Boxes,Qty per Box,Total Qty,Weight Kg
ORD-W11-03,ALP-867,Scaffale 180cm,4,2,8,320.0
ORD-W11-03,ALP-507,Scarpiera 3 ante,1,2,2,45.0
